,bpm,bpm max,bpm counting
2,73.21017684570377,74.12244897959182,54.995871180842286
532,84.18557800556971,61.02290076335879,67.08354177088543
788,60.41861667001636,56.58646616541353,71.72267233364325
132,73.08356536143516,50.306010928961754,75.84708948740226
924,74.46901773261607,51.93220338983051,79.09506199695454
948,75.84464913113662,44.92485549132948,78.2508038585209
16,69.94800956320444,70.32835820895522,79.4229953330505
286,59.23365150562044,51.06569343065694,74.58208315473638
656,69.79187445973801,64.58031088082902,71.03553380925644
928,76.60656841475273,68.50909090909092,83.57654550278588
540,81.3480982185845,41.41401273885351,61.99261992619926
784,59.64561918746941,61.25454545454546,77.98219584569733
930,75.63280189507866,79.40229885057471,79.71056439942112
1336,88.07557443999833,73.71875,78.54268163524677
666,69.1939477303989,73.49473684210527,70.09305654974946
150,75.9294710327456,69.38461538461537,54.52530476542298
660,66.59789190401436,68.23357664233575,69.29740134744947
950,76.72769118108589,77.41304347826087,77.81052631578947
160,76.62541045718615,74.19354838709677,75.49712050418343
426,63.412668805491315,32.184,64.40551621319418
914,72.42366741417976,74.74157303370787,77.35537190082644
652,67.93543915239133,41.80851063829787,66.84471575734452
524,83.62161569659105,79.9122807017544,70.71216942828926
274,58.819490294467194,62.224719101123604,84.46128857606931
1174,85.41421800947867,64.23880597014926,67.71946121690665
164,78.91397284932123,49.179487179487175,75.05863956215794
814,64.77941524901674,68.94214876033058,80.24928092042185
40,72.82579246816582,59.12121212121212,79.7847809377402
552,82.54988559570053,79.59550561797754,83.81543671511218
1178,88.30002737476048,79.38271604938272,76.67910447761194
268,61.475128644939964,78.0952380952381,77.51371115173674
1172,83.9443982416538,64.29885057471265,73.968197248526
28,70.21948026009187,57.561290322580646,75.43702375616317
668,68.42050099570275,77.55102040816325,78.61089187056038
1326,89.18448139350753,75.70370370370372,64.5582001956309
6,69.78600118522421,65.90697674418604,81.25551049197672
406,63.682963601119965,68.21818181818182,61.86226188890369
400,66.35998539612997,66.99082568807339,69.97946611909651
1340,92.60740199404916,69.58181818181818,78.51639023116104
786,61.37382300823461,60.07692307692309,84.672
1334,88.3858110801116,59.61764705882352,63.02552089754654
806,64.40117896135165,58.2,68.00785083415113
792,61.69592383219279,46.97345132743363,76.59574468085107
420,62.90378815130468,70.83333333333333,45.509334117301194
800,63.82005623242737,79.2051282051282,61.74757281553398
682,67.60230720866024,66.49122807017544,75.00989054463932
36,69.07976672926756,68.81818181818181,69.87983626039878
1196,86.95277118826826,41.00564971751412,75.37190082644628
136,77.23336499245768,74.92753623188406,85.5982988594626
412,67.918732109195,53.70621468926554,85.57004627681951
1204,87.47441399801914,63.009345794392516,72.0533728687917
428,63.678813004582146,58.8358208955224,71.1787072243346
798,62.32660629349957,55.00000000000001,78.32553015698156
32,70.51421113036434,65.54744525547444,78.95791583166333
1184,84.58079741646999,79.1,80.98066472892708
38,70.42917780223235,77.81443298969073,69.6158940397351
272,59.78289293641865,73.26415094339623,76.92109666623762
142,76.77728482697427,78.58156028368795,80.56307525717381
262,69.09741046196436,76.59740259740259,74.4532971690117
522,84.78472628092733,76.22222222222223,67.9847908745247
1322,91.14708511272222,77.84158415841586,79.19633774160732
922,74.77295200425952,70.7945205479452,66.83426803326242
1312,91.57919510473052,73.30097087378641,75.78445650734807
658,69.58149581495815,61.171052631578945,76.63692076120847
684,68.08256121331874,67.38582677165354,81.16822429906543
4,71.18434603501545,65.72881355932202,68.20466554968424
530,83.84640206518232,75.29896907216495,45.825349028196
1320,91.34746180384424,72.1038961038961,73.89268995318689
790,60.528917336734935,63.98507462686567,86.47388059701493
1330,89.55674816139931,70.64,76.22282608695653
796,63.093654643611615,57.42857142857143,64.42953020134229
944,75.0111398672218,48.839080459770116,74.10892836136925
148,74.39769281964061,74.74418604651163,72.77250816358264
920,73.85101758545744,76.58823529411764,71.15716753022453
278,60.6347164622652,76.41379310344828,71.87006541845251
288,60.702351175587786,62.19512195121951,80.90944727557822
544,84.51089018744783,70.85333333333335,58.90539778070341
1306,90.95397393009573,69.96969696969697,76.34711101493184
526,83.00365887981988,54.01015228426396,53.10532744526919
680,68.20799312419423,53.41935483870968,66.29100422620246
166,75.77000154154463,75.57333333333334,69.84126984126983
26,68.66670694133994,76.79069767441861,64.84032087180263
1304,88.53388696151009,75.00917431192661,73.94547010636997
1338,92.86925813959714,73.95698924731184,70.1060892312164
1328,88.80716553717835,68.98387096774194,74.05329593267882
936,77.68553459119498,39.64285714285714,67.00690483338337
